Year,Average,Deevey,McEvedy and Jones 1978,Durand Low,Durand High,Clark,Biraben,Blaxter,UN,Kremer
-1000000,0.125,0.125,,,,,,,,
-300000,1.0,1,,,,,,,,
-25000,3.34,3.34,,,,,,,,
-10000,4.0,,4,,,,,,,
-8000,5.32,5.32,,,,,,,,
-5000,22.5,,5,,,,,40,,
-4000,46.75,86.5,7,,,,,,,
-3000,14.0,,14,,,,,,,
-2000,27.0,,27,,,,,,,
-1600,70.0,,,,,,,70,,
-1000,50.0,,50,,,,,,,
-800,100.0,,,,,,,100,,
-500,100.0,,100,,,,,,,
-400,157.5,,,,,,153,162,,
-200,202.0,,150,,,,225,231,,
1,235.0,133,170,270,330,,252,255,,
14,256.0,,,,,256,,,,
200,234.333333333,,190,,,,257,256,,
350,254.0,,,,,254,,,,
400,200.666666667,,190,,,,206,206,,
500,198.5,,190,,,,207,,,
600,212.75,,200,,,237,208,206,,
700,207.666666667,,210,,,,206,207,,
800,232.25,,220,,,261,224,224,,
900,229.333333333,,240,,,,222,226,,
1000,278.666666667,,265,275,345,280,253,254,,
1100,306.666666667,,320,,,,299,301,,
1200,386.0,,360,,,384,400,400,,
1250,417.0,,,,,,417,,,
1300,407.666666667,,360,,,,431,432,,
1340,410.0,,,,,378,442,,,
1400,366.333333333,,350,,,,375,374,,
1500,458.833333333,,425,440,540,427,461,460,,
1600,550.0,,545,,,498,578,579,,
1650,535.333333333,545,545,,,516,,,,
1700,652.5,,610,,,641,680,679,,
1750,751.428571429,728,720,735,805,731,771,770,,
1800,920.8,906,900,,,890,954,954,,
1850,1218.0,,1200,,,1190,1241,1241,,
1875,1325.0,,1325,,,,,,,
1900,1647.14285714,1610,1625,1650,1710,1668,1634,1633,,
1920,1813.0,,,,,,,,,1813
1925,2000.0,,2000,,,,,,,
1930,1987.0,,,,,,,,,1987
1940,2213.0,,,,,,,,,2213
1950,2495.0,2400,,,,,2530,2513,2516,2516
1955,2626.0,,2500,,,,,,2752,
1960,3019.5,,,,,,,,3020,3019
1965,3336.0,,,,,,,,3336,
1970,3676.0,,,,,,3637,,3698,3693
1975,3957.25,,3900,3900,3950,,,,4079,
1980,4437.66666667,,,,,,,4415,4448,4450
1985,4851.0,,,,,,,,4851,
1990,5312.5,,,,,,,,5292,5333
